Data_File_Version,Data_File_Timestamp,Player,Roster_Status,Original_75_Invitee,Additional_StatLab_Only,Height,Height_in,Height_from_2025_combine_heights_csv,Wingspan,Wingspan_in,Standing_Reach,Standing_Reach_in,Hand_Length,Hand_Width,Has_Hand_Length,Has_Hand_Width,Has_Hand_Data,Lane_Agility_Time,Shuttle_Run,G,GS,MP,DWS,DBPM,WS,DWS_per_1000_MP,PlayerID,Modeling_Ready,Source_File_1,Source_File_2,Source_File_3,Weight_lbs,Measurement_Source,Stats_Source,Notes
v2,20260516_031444_CT,Brice Williams,Original 75 Invitee,Yes,No,,,,,,,,9.0,10.75,True,True,True,11.19,2.98,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Carter Bryant,Original 75 Invitee,Yes,No,"6' 6.50""",78.5,"6' 6.50""","6' 11.75""",83.75,"8' 10.00""",106.0,8.5,9.5,True,True,True,11.25,3.14,71.0,0.0,818.0,1.2,0.2,1.3,1.4669926650366747,bryanca01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,214.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Cedric Coward,Original 75 Invitee,Yes,No,"6' 5.25""",77.25,"6' 5.25""","7' 2.25""",86.25,"8' 10.00""",106.0,9.25,10.0,True,True,True,10.97,3.02,62.0,47.0,1598.0,1.1,-0.6,2.5,0.688360450563204,cowarce01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,213.0,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Chaz Lanier,Original 75 Invitee,Yes,No,"6' 3.75""",75.75,"6' 3.75""","6' 9.00""",81.0,"8' 5.50""",101.5,8.5,9.75,True,True,True,10.53,2.96,34.0,0.0,262.0,0.3,-1.3,0.3,1.1450381679389314,laniech01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,205.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Collin Murray-Boyles,Original 75 Invitee,Yes,No,"6' 6.50""",78.5,"6' 6.50""","7' 0.75""",84.75,"8' 10.50""",106.5,8.5,10.25,True,True,True,11.21,2.86,57.0,22.0,1246.0,1.9,1.5,4.0,1.5248796147672552,murraco01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,239.2,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Cooper Flagg,Original 75 Invitee,Yes,No,"6' 7.75""",79.75,"6' 7.75""","7' 0.00""",84.0,"8' 10.50""",106.5,8.75,9.75,True,True,True,10.64,2.92,70.0,70.0,2344.0,2.5,0.4,3.8,1.0665529010238908,flaggco01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,221.0,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Danny Wolf,Original 75 Invitee,Yes,No,"6' 10.50""",82.5,"6' 10.50""","7' 2.25""",86.25,"9' 1.00""",109.0,9.25,9.75,True,True,True,11.26,2.91,57.0,15.0,1187.0,1.0,-0.3,0.8,0.8424599831508003,wolfda01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,251.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Darrion Williams,Original 75 Invitee,Yes,No,"6' 4.50""",76.5,"6' 4.50""","6' 6.00""",78.0,"8' 5.00""",101.0,9.0,10.5,True,True,True,11.73,3.01,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,236.0,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Derik Queen,Original 75 Invitee,Yes,No,"6' 9.25""",81.25,"6' 9.25""","7' 0.50""",84.5,"9' 1.50""",109.5,9.0,9.5,True,True,True,12.45,3.27,81.0,48.0,2023.0,2.3,0.7,2.7,1.1369253583786456,queende01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,247.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Dink Pate,Original 75 Invitee,Yes,No,"6' 6.25""",78.25,"6' 6.25""","6' 9.75""",81.75,"8' 8.00""",104.0,8.5,9.0,True,True,True,10.63,2.97,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,200.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Drake Powell,Original 75 Invitee,Yes,No,"6' 5.25""",77.25,"6' 5.25""","7' 0.00""",84.0,"8' 7.00""",103.0,8.75,10.0,True,True,True,10.71,2.79,63.0,24.0,1320.0,0.5,-1.3,-0.1,0.3787878787878788,poweldr01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,200.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Dylan Harper,Original 75 Invitee,Yes,No,"6' 4.50""",76.5,"6' 4.50""","6' 10.50""",82.5,"8' 6.00""",102.0,9.25,9.25,True,True,True,11.07,3.05,69.0,4.0,1558.0,2.2,1.1,4.2,1.41206675224647,harpedy01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,213.2,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Egor Demin,Original 75 Invitee,Yes,No,"6' 8.25""",80.25,"6' 8.25""","6' 10.25""",82.25,"8' 9.50""",105.5,8.25,9.25,True,True,True,11.31,2.93,52.0,45.0,1308.0,0.7,-0.7,0.9,0.5351681957186545,demineg01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,199.2,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Eric Dixon,Original 75 Invitee,Yes,No,"6' 7.50""",79.5,"6' 7.50""","6' 11.50""",83.5,"8' 8.00""",104.0,8.75,10.0,True,True,True,11.56,3.09,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,258.6,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Grant Nelson,Original 75 Invitee,Yes,No,"6' 10.00""",82.0,"6' 10.00""","7' 0.00""",84.0,,,9.0,9.75,True,True,True,10.51,2.58,4.0,0.0,35.0,0.1,4.8,0.1,2.857142857142857,nelsogr02,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,NBA Stat Lab paste in ChatGPT conversation; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,Added from user-provided Stat Lab text
v2,20260516_031444_CT,Hansen Yang,Original 75 Invitee,Yes,No,"7' 1.00""",85.0,"7' 1.00""","7' 2.75""",86.75,,,10.0,11.25,True,True,True,11.79,3.01,43.0,1.0,300.0,0.3,-0.6,-0.5,1.0,yangha01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,NBA Stat Lab paste in ChatGPT conversation; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,Added from user-provided Stat Lab text
v2,20260516_031444_CT,Hugo Gonzalez,Original 75 Invitee,Yes,No,,,,,,,,10.25,9.0,True,True,True,10.91,,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Hunter Sallis,Original 75 Invitee,Yes,No,"6' 3.75""",75.75,"6' 3.75""","6' 10.00""",82.0,"8' 4.50""",100.5,8.5,9.75,True,True,True,10.99,2.94,7.0,0.0,26.0,0.0,-2.9,-0.1,0.0,sallihu01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,181.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Isaiah Evans,Original 75 Invitee,Yes,No,,,,,,,,,,False,False,False,,,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Izan Almansa,Original 75 Invitee,Yes,No,"6' 9.25""",81.25,"6' 9.25""","7' 1.75""",85.75,,,9.25,9.5,True,True,True,11.46,2.93,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,NBA Stat Lab paste in ChatGPT conversation; Copilot final 75 roster backbone,,Added from user-provided Stat Lab text Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Jalon Moore,Original 75 Invitee,Yes,No,,,,,,,,9.0,9.5,True,True,True,11.68,3.1,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Jamir Watkins,Original 75 Invitee,Yes,No,"6' 5.00""",77.0,"6' 5.00""","6' 11.25""",83.25,"8' 6.50""",102.5,9.25,9.75,True,True,True,11.19,3.21,50.0,7.0,1032.0,0.5,-0.5,1.1,0.4844961240310077,watkija01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,214.6,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Jase Richardson,Original 75 Invitee,Yes,No,"6' 0.50""",72.5,"6' 0.50""","6' 6.00""",78.0,"8' 2.50""",98.5,8.5,9.5,True,True,True,10.97,3.08,54.0,0.0,587.0,0.5,-0.7,1.0,0.8517887563884157,richaja02,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,178.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Javon Small,Original 75 Invitee,Yes,No,"6' 1.00""",73.0,"6' 1.00""","6' 4.75""",76.75,"8' 0.00""",96.0,8.25,9.75,True,True,True,10.74,2.87,41.0,12.0,830.0,0.5,-0.6,1.9,0.6024096385542169,smallja01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,190.0,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Jeremiah Fears,Original 75 Invitee,Yes,No,"6' 2.50""",74.5,"6' 2.50""","6' 5.25""",77.25,"8' 2.50""",98.5,8.25,9.25,True,True,True,10.95,3.09,82.0,49.0,2112.0,1.4,-1.3,0.6,0.6628787878787878,fearsje01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,179.6,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Joan Beringer,Original 75 Invitee,Yes,No,"6' 11.00""",83.0,"6' 11.00""","7' 4.50""",88.5,,,9.75,10.0,True,True,True,11.44,2.97,40.0,3.0,314.0,0.5,0.2,1.5,1.5923566878980893,berinjo01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,NBA Stat Lab paste in ChatGPT conversation; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,Added from user-provided Stat Lab text
v2,20260516_031444_CT,John Tonje,Original 75 Invitee,Yes,No,"6' 4.75""",76.75,"6' 4.75""","6' 9.00""",81.0,"8' 7.00""",103.0,9.0,9.5,True,True,True,11.14,3.21,6.0,0.0,42.0,0.1,1.2,0.1,2.3809523809523814,tonjejo01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,211.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Johni Broome,Original 75 Invitee,Yes,No,"6' 9.25""",81.25,"6' 9.25""","7' 0.25""",84.25,"9' 0.50""",108.5,9.25,10.25,True,True,True,11.52,3.23,11.0,0.0,55.0,0.1,-4.4,-0.2,1.818181818181818,broomjo01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,249.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Kam Jones,Original 75 Invitee,Yes,No,"6' 3.25""",75.25,"6' 3.25""","6' 6.00""",78.0,"8' 4.50""",100.5,8.25,8.5,True,True,True,11.42,3.11,37.0,7.0,616.0,0.2,-1.9,0.0,0.3246753246753247,joneska03,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,202.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Karter Knox,Original 75 Invitee,Yes,No,,,,,,,,9.0,9.5,True,True,True,10.92,2.96,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Kasparas Jakucionis,Original 75 Invitee,Yes,No,"6' 4.75""",76.75,"6' 4.75""","6' 7.75""",79.75,"8' 4.00""",100.0,8.5,9.75,True,True,True,10.99,2.82,53.0,12.0,945.0,0.9,0.6,2.3,0.9523809523809524,jakucka01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,205.2,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Khaman Maluach,Original 75 Invitee,Yes,No,"7' 0.75""",84.75,"7' 0.75""","7' 6.75""",90.75,"9' 6.00""",114.0,9.75,10.25,True,True,True,12.05,3.44,46.0,1.0,411.0,0.6,0.0,0.8,1.45985401459854,maluakh01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,252.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Kobe Sanders,Original 75 Invitee,Yes,No,,,,,,,,8.5,9.25,True,True,True,10.95,3.0,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Koby Brea,Original 75 Invitee,Yes,No,"6' 5.75""",77.75,"6' 5.75""","6' 5.25""",77.25,"8' 5.50""",101.5,8.5,9.25,True,True,True,11.4,3.23,12.0,0.0,84.0,0.1,-1.4,0.2,1.190476190476191,breako01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,201.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Kon Knueppel,Original 75 Invitee,Yes,No,"6' 5.00""",77.0,"6' 5.00""","6' 6.25""",78.25,"8' 5.50""",101.5,8.5,9.75,True,True,True,11.92,2.92,81.0,80.0,2551.0,2.5,-0.4,8.0,0.9800078400627206,knuepko01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,219.0,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Labaron Philon,Original 75 Invitee,Yes,No,"6' 2.75""",74.75,"6' 2.75""","6' 6.25""",78.25,"8' 3.50""",99.5,8.5,9.0,True,True,True,11.46,3.14,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,174.6,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Liam McNeeley,Original 75 Invitee,Yes,No,"6' 6.75""",78.75,"6' 6.75""","6' 8.50""",80.5,"8' 4.00""",100.0,8.75,10.0,True,True,True,11.11,2.75,31.0,0.0,368.0,0.4,0.0,0.9,1.0869565217391304,mcneeli01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,214.6,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Mark Sears,Original 75 Invitee,Yes,No,,,,,,,,8.0,8.75,True,True,True,10.96,3.25,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Max Shulga,Original 75 Invitee,Yes,No,,,,,,,,8.0,9.75,True,True,True,11.35,3.06,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Maxime Raynaud,Original 75 Invitee,Yes,No,"7' 0.25""",84.25,"7' 0.25""","7' 1.25""",85.25,"9' 2.00""",110.0,9.0,10.25,True,True,True,11.31,3.16,74.0,56.0,1964.0,1.0,-1.6,3.6,0.5091649694501018,raynama01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,236.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Micah Peavy,Original 75 Invitee,Yes,No,,,,,,,,8.5,8.75,True,True,True,10.9,3.06,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Michael Ruzic,Original 75 Invitee,Yes,No,"6' 11.00""",83.0,"6' 11.00""","7' 0.75""",84.75,"9' 0.00""",108.0,9.0,9.25,True,True,True,11.4,2.98,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,221.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
